2026-05-01 02:14:35,731 [MCA-SWEEP] INFO - === CONNECTICUT FULL SWEEP ===
2026-05-01 02:14:37,044 [MCA-SWEEP] INFO -   CT offset 0: 2000 records, 0 new MCA leads
2026-05-01 02:14:38,458 [MCA-SWEEP] INFO -   CT offset 2000: 2000 records, 0 new MCA leads
2026-05-01 02:14:40,243 [MCA-SWEEP] INFO -   CT offset 4000: 2000 records, 0 new MCA leads
2026-05-01 02:14:41,452 [MCA-SWEEP] INFO -   CT offset 6000: 2000 records, 0 new MCA leads
2026-05-01 02:14:43,677 [MCA-SWEEP] INFO -   CT offset 8000: 2000 records, 0 new MCA leads
2026-05-01 02:14:44,936 [MCA-SWEEP] INFO -   CT offset 10000: 2000 records, 0 new MCA leads
2026-05-01 02:14:46,280 [MCA-SWEEP] INFO -   CT offset 12000: 2000 records, 0 new MCA leads
2026-05-01 02:14:47,727 [MCA-SWEEP] INFO -   CT offset 14000: 2000 records, 0 new MCA leads
2026-05-01 02:14:49,582 [MCA-SWEEP] INFO -   CT offset 16000: 2000 records, 0 new MCA leads
2026-05-01 02:14:51,213 [MCA-SWEEP] INFO -   CT offset 18000: 2000 records, 0 new MCA leads
2026-05-01 02:14:52,677 [MCA-SWEEP] INFO -   CT offset 20000: 2000 records, 0 new MCA leads
2026-05-01 02:14:54,426 [MCA-SWEEP] INFO -   CT offset 22000: 2000 records, 0 new MCA leads
2026-05-01 02:14:56,128 [MCA-SWEEP] INFO -   CT offset 24000: 2000 records, 0 new MCA leads
2026-05-01 02:14:57,563 [MCA-SWEEP] INFO -   CT offset 26000: 2000 records, 0 new MCA leads
2026-05-01 02:14:59,794 [MCA-SWEEP] INFO -   CT offset 28000: 2000 records, 0 new MCA leads
2026-05-01 02:15:01,761 [MCA-SWEEP] INFO -   CT offset 30000: 2000 records, 0 new MCA leads
2026-05-01 02:15:03,308 [MCA-SWEEP] INFO -   CT offset 32000: 2000 records, 0 new MCA leads
2026-05-01 02:15:04,588 [MCA-SWEEP] INFO -   CT offset 34000: 2000 records, 0 new MCA leads
2026-05-01 02:15:06,124 [MCA-SWEEP] INFO -   CT offset 36000: 2000 records, 0 new MCA leads
2026-05-01 02:15:07,487 [MCA-SWEEP] INFO -   CT offset 38000: 2000 records, 0 new MCA leads
2026-05-01 02:15:08,958 [MCA-SWEEP] INFO -   CT offset 40000: 2000 records, 0 new MCA leads
2026-05-01 02:15:10,527 [MCA-SWEEP] INFO -   CT offset 42000: 2000 records, 0 new MCA leads
2026-05-01 02:15:12,235 [MCA-SWEEP] INFO -   CT offset 44000: 2000 records, 0 new MCA leads
2026-05-01 02:15:14,148 [MCA-SWEEP] INFO -   CT offset 46000: 2000 records, 0 new MCA leads
2026-05-01 02:15:15,819 [MCA-SWEEP] INFO -   CT offset 48000: 2000 records, 0 new MCA leads
2026-05-01 02:15:17,878 [MCA-SWEEP] INFO -   CT offset 50000: 2000 records, 0 new MCA leads
2026-05-01 02:15:20,093 [MCA-SWEEP] INFO -   CT offset 52000: 2000 records, 0 new MCA leads
2026-05-01 02:15:21,836 [MCA-SWEEP] INFO -   CT offset 54000: 2000 records, 0 new MCA leads
2026-05-01 02:15:23,549 [MCA-SWEEP] INFO -   CT offset 56000: 2000 records, 0 new MCA leads
2026-05-01 02:15:25,592 [MCA-SWEEP] INFO -   CT offset 58000: 2000 records, 0 new MCA leads
2026-05-01 02:15:28,188 [MCA-SWEEP] INFO -   CT offset 60000: 2000 records, 0 new MCA leads
2026-05-01 02:15:29,979 [MCA-SWEEP] INFO -   CT offset 62000: 2000 records, 0 new MCA leads
2026-05-01 02:15:32,137 [MCA-SWEEP] INFO -   CT offset 64000: 2000 records, 0 new MCA leads
2026-05-01 02:15:33,621 [MCA-SWEEP] INFO -   CT offset 66000: 2000 records, 0 new MCA leads
2026-05-01 02:15:35,286 [MCA-SWEEP] INFO -   CT offset 68000: 2000 records, 0 new MCA leads
2026-05-01 02:15:36,847 [MCA-SWEEP] INFO -   CT offset 70000: 2000 records, 0 new MCA leads
2026-05-01 02:15:38,697 [MCA-SWEEP] INFO -   CT offset 72000: 2000 records, 0 new MCA leads
